SP_GESTOR;Nome_Municipio;Estação;SP_CIDPRI;DIAGNOSTICO_DESCRICAO;TOTAL_DE_CASOS
350000;Gestão Estadual (SP);Primavera;J90;J90;11211
355030;São Paulo;Inverno;A419;Sepse Não Especificada (Infecção Geral);11183
350000;Gestão Estadual (SP);Outono;J159;Pneumonia Bacteriana;11141
350000;Gestão Estadual (SP);Primavera;C509;C509;11025
350000;Gestão Estadual (SP);Outono;Z302;Z302;10959
350000;Gestão Estadual (SP);Outono;C61;C61;10941
350000;Gestão Estadual (SP);Verão;N179;N179;10574
350000;Gestão Estadual (SP);Inverno;P073;P073;10365
350000;Gestão Estadual (SP);Primavera;C20;C20;10337
350000;Gestão Estadual (SP);Inverno;N179;N179;10323
350000;Gestão Estadual (SP);Outono;I509;I509;10246
350000;Gestão Estadual (SP);Verão;Z302;Z302;10208
350000;Gestão Estadual (SP);Primavera;S065;S065;10135
350000;Gestão Estadual (SP);Primavera;A488;A488;10125
350000;Gestão Estadual (SP);Outono;P073;P073;10107
350000;Gestão Estadual (SP);Primavera;P073;P073;10100
355030;São Paulo;Primavera;I219;Infarto Agudo do Miocárdio (IAM);10058
350000;Gestão Estadual (SP);Outono;N180;N180;10014
350000;Gestão Estadual (SP);Verão;P073;P073;9981
350000;Gestão Estadual (SP);Primavera;K409;K409;9906
350000;Gestão Estadual (SP);Verão;N180;N180;9905
350000;Gestão Estadual (SP);Outono;C509;C509;9881
350000;Gestão Estadual (SP);Inverno;C509;C509;9820
350000;Gestão Estadual (SP);Inverno;J90;J90;9786
350000;Gestão Estadual (SP);Inverno;S720;S720;9770
350000;Gestão Estadual (SP);Outono;J90;J90;9742
355030;São Paulo;Outono;Z302;Z302;9688
350000;Gestão Estadual (SP);Verão;I509;I509;9583
355030;São Paulo;Outono;I219;Infarto Agudo do Miocárdio (IAM);9481
350000;Gestão Estadual (SP);Primavera;S720;S720;9464
350000;Gestão Estadual (SP);Primavera;C910;C910;9261
350000;Gestão Estadual (SP);Outono;O809;O809;9257
355030;São Paulo;Inverno;J189;Pneumonia Não Especificada;9246
355030;São Paulo;Outono;J189;Pneumonia Não Especificada;9227
355030;São Paulo;Inverno;I219;Infarto Agudo do Miocárdio (IAM);9165
355030;São Paulo;Verão;I219;Infarto Agudo do Miocárdio (IAM);9026
350000;Gestão Estadual (SP);Outono;C20;C20;8982
350000;Gestão Estadual (SP);Outono;K409;K409;8918
355030;São Paulo;Inverno;I64;Acidente Vascular Cerebral (AVC);8806
350000;Gestão Estadual (SP);Inverno;C20;C20;8691
350000;Gestão Estadual (SP);Inverno;T813;T813;8666
350000;Gestão Estadual (SP);Outono;J960;J960;8653
350000;Gestão Estadual (SP);Primavera;S068;S068;8627
350000;Gestão Estadual (SP);Inverno;J960;J960;8621
350000;Gestão Estadual (SP);Primavera;N179;N179;8593
350000;Gestão Estadual (SP);Verão;S065;S065;8535
350000;Gestão Estadual (SP);Outono;N179;N179;8526
355030;São Paulo;Primavera;Z302;Z302;8526
350000;Gestão Estadual (SP);Inverno;K409;K409;8508
350000;Gestão Estadual (SP);Verão;C509;C509;8476
350000;Gestão Estadual (SP);Inverno;S068;S068;8368
350000;Gestão Estadual (SP);Primavera;T813;T813;8343
355030;São Paulo;Primavera;J189;Pneumonia Não Especificada;8266
350000;Gestão Estadual (SP);Primavera;K808;K808;8261
350000;Gestão Estadual (SP);Primavera;K802;K802;8233
350000;Gestão Estadual (SP);Verão;S068;S068;8197
350000;Gestão Estadual (SP);Primavera;J960;J960;8187
350000;Gestão Estadual (SP);Outono;A488;A488;8176
350000;Gestão Estadual (SP);Verão;I638;I638;8114
350000;Gestão Estadual (SP);Inverno;S721;S721;8065
350000;Gestão Estadual (SP);Inverno;A90;Dengue Clássica;8018
350000;Gestão Estadual (SP);Outono;C910;C910;8015
350000;Gestão Estadual (SP);Primavera;K359;Apendicite Aguda;7979
350000;Gestão Estadual (SP);Outono;K802;K802;7897
350000;Gestão Estadual (SP);Verão;K409;K409;7894
350000;Gestão Estadual (SP);Verão;S720;S720;7862
350000;Gestão Estadual (SP);Outono;K359;Apendicite Aguda;7843
350000;Gestão Estadual (SP);Primavera;S721;S721;7842
350000;Gestão Estadual (SP);Inverno;I638;I638;7831
350000;Gestão Estadual (SP);Verão;K802;K802;7827
355030;São Paulo;Inverno;J180;J180;7810
350000;Gestão Estadual (SP);Verão;J90;J90;7784
355030;São Paulo;Inverno;Z302;Z302;7779
350000;Gestão Estadual (SP);Inverno;C910;C910;7735
350000;Gestão Estadual (SP);Verão;K359;Apendicite Aguda;7728
355030;São Paulo;Outono;A419;Sepse Não Especificada (Infecção Geral);7685
355030;São Paulo;Primavera;N189;N189;7674
350000;Gestão Estadual (SP);Verão;O809;O809;7631
350000;Gestão Estadual (SP);Verão;J159;Pneumonia Bacteriana;7620
350000;Gestão Estadual (SP);Outono;S720;S720;7552
350000;Gestão Estadual (SP);Primavera;C900;C900;7524
350000;Gestão Estadual (SP);Outono;T813;T813;7513
350000;Gestão Estadual (SP);Outono;S065;S065;7451
355030;São Paulo;Primavera;I64;Acidente Vascular Cerebral (AVC);7450
350000;Gestão Estadual (SP);Verão;C910;C910;7437
350000;Gestão Estadual (SP);Inverno;A488;A488;7382
350000;Gestão Estadual (SP);Inverno;S065;S065;7377
350000;Gestão Estadual (SP);Verão;C20;C20;7373
350000;Gestão Estadual (SP);Primavera;I638;I638;7311
350000;Gestão Estadual (SP);Verão;C61;C61;7298
350000;Gestão Estadual (SP);Outono;C900;C900;7257
350000;Gestão Estadual (SP);Outono;I638;I638;7229
350000;Gestão Estadual (SP);Primavera;K929;K929;7191
350000;Gestão Estadual (SP);Verão;P229;P229;7148
350000;Gestão Estadual (SP);Primavera;C920;C920;7109
350000;Gestão Estadual (SP);Primavera;O820;O820;7104
350000;Gestão Estadual (SP);Outono;J218;J218;7049
355030;São Paulo;Verão;I64;Acidente Vascular Cerebral (AVC);7035
350000;Gestão Estadual (SP);Primavera;I442;I442;7027
350000;Gestão Estadual (SP);Primavera;G409;G409;7009
350000;Gestão Estadual (SP);Inverno;O809;O809;6943
350000;Gestão Estadual (SP);Outono;K808;K808;6935
355030;São Paulo;Outono;I64;Acidente Vascular Cerebral (AVC);6874
350000;Gestão Estadual (SP);Inverno;I442;I442;6865
350000;Gestão Estadual (SP);Primavera;C189;C189;6817
355030;São Paulo;Verão;Z302;Z302;6779
350000;Gestão Estadual (SP);Outono;I442;I442;6748
350000;Gestão Estadual (SP);Outono;O820;O820;6734
350000;Gestão Estadual (SP);Outono;C920;C920;6706
350000;Gestão Estadual (SP);Primavera;I839;I839;6694
355030;São Paulo;Verão;N189;N189;6687
350000;Gestão Estadual (SP);Primavera;T814;T814;6677
350000;Gestão Estadual (SP);Primavera;S822;S822;6673
350000;Gestão Estadual (SP);Inverno;K808;K808;6639
350000;Gestão Estadual (SP);Primavera;I743;I743;6588
350000;Gestão Estadual (SP);Verão;I442;I442;6566
350000;Gestão Estadual (SP);Verão;J960;J960;6552
350000;Gestão Estadual (SP);Outono;S068;S068;6545
355030;São Paulo;Outono;J180;J180;6508
350000;Gestão Estadual (SP);Primavera;P229;P229;6491
350000;Gestão Estadual (SP);Primavera;O809;O809;6483
350000;Gestão Estadual (SP);Inverno;K929;K929;6470
350000;Gestão Estadual (SP);Outono;F200;F200;6451
350000;Gestão Estadual (SP);Inverno;K802;K802;6443
350000;Gestão Estadual (SP);Outono;K929;K929;6435
350000;Gestão Estadual (SP);Outono;P229;P229;6429
350000;Gestão Estadual (SP);Outono;G409;G409;6425
350000;Gestão Estadual (SP);Primavera;I739;I739;6406
355030;São Paulo;Primavera;J180;J180;6392
350000;Gestão Estadual (SP);Primavera;I210;I210;6387
355030;São Paulo;Inverno;N189;N189;6354
350000;Gestão Estadual (SP);Outono;S721;S721;6312
350000;Gestão Estadual (SP);Inverno;J449;J449;6295
350000;Gestão Estadual (SP);Verão;F200;F200;6266
355030;São Paulo;Verão;A419;Sepse Não Especificada (Infecção Geral);6256
350000;Gestão Estadual (SP);Inverno;K746;K746;6230
350000;Gestão Estadual (SP);Outono;I839;I839;6194
350000;Gestão Estadual (SP);Verão;T814;T814;6173
350000;Gestão Estadual (SP);Outono;C189;C189;6125
350000;Gestão Estadual (SP);Primavera;S723;S723;6118
355030;São Paulo;Inverno;N390;Infecção do Trato Urinário;6091
350000;Gestão Estadual (SP);Inverno;T814;T814;6090
355030;São Paulo;Outono;N189;N189;6086
350000;Gestão Estadual (SP);Inverno;O820;O820;6062
350000;Gestão Estadual (SP);Outono;I210;I210;6032
350000;Gestão Estadual (SP);Verão;K808;K808;6002
350000;Gestão Estadual (SP);Verão;A488;A488;5982
350000;Gestão Estadual (SP);Verão;I210;I210;5972
355030;São Paulo;Primavera;N390;Infecção do Trato Urinário;5889
350000;Gestão Estadual (SP);Inverno;I839;I839;5879
350000;Gestão Estadual (SP);Outono;K429;K429;5876
355030;São Paulo;Inverno;A90;Dengue Clássica;5876
350000;Gestão Estadual (SP);Inverno;K359;Apendicite Aguda;5874
350000;Gestão Estadual (SP);Primavera;D259;D259;5851
350000;Gestão Estadual (SP);Primavera;K429;K429;5846
350000;Gestão Estadual (SP);Inverno;R100;R100;5842
350000;Gestão Estadual (SP);Primavera;F200;F200;5807
350000;Gestão Estadual (SP);Verão;S721;S721;5802
355030;São Paulo;Verão;I209;I209;5784
350000;Gestão Estadual (SP);Verão;T813;T813;5767
350000;Gestão Estadual (SP);Primavera;I702;I702;5736
350000;Gestão Estadual (SP);Inverno;S723;S723;5733
350000;Gestão Estadual (SP);Verão;K429;K429;5702
355030;São Paulo;Verão;J189;Pneumonia Não Especificada;5698
350000;Gestão Estadual (SP);Inverno;A498;A498;5677
350000;Gestão Estadual (SP);Inverno;G409;G409;5669
350000;Gestão Estadual (SP);Primavera;H251;H251;5651
355030;São Paulo;Outono;N390;Infecção do Trato Urinário;5646
350000;Gestão Estadual (SP);Verão;I839;I839;5638
350000;Gestão Estadual (SP);Primavera;K746;K746;5621
350000;Gestão Estadual (SP);Outono;P599;P599;5615
350000;Gestão Estadual (SP);Primavera;K810;K810;5601
355030;São Paulo;Verão;I500;I500;5588
350000;Gestão Estadual (SP);Verão;K746;K746;5584
350000;Gestão Estadual (SP);Primavera;R100;R100;5562
350000;Gestão Estadual (SP);Verão;I743;I743;5551
350000;Gestão Estadual (SP);Verão;C189;C189;5551
350000;Gestão Estadual (SP);Verão;R100;R100;5548
350000;Gestão Estadual (SP);Outono;S822;S822;5539
350000;Gestão Estadual (SP);Inverno;I210;I210;5539
350000;Gestão Estadual (SP);Inverno;F200;F200;5539
350000;Gestão Estadual (SP);Inverno;C920;C920;5538
350000;Gestão Estadual (SP);Inverno;S822;S822;5528
355030;São Paulo;Primavera;I500;I500;5527
355030;São Paulo;Verão;N390;Infecção do Trato Urinário;5521
350000;Gestão Estadual (SP);Outono;J210;J210;5516
350000;Gestão Estadual (SP);Primavera;L989;L989;5492
350000;Gestão Estadual (SP);Verão;O820;O820;5437
355030;São Paulo;Primavera;O820;O820;5432
350000;Gestão Estadual (SP);Inverno;I743;I743;5420
350000;Gestão Estadual (SP);Outono;N201;N201;5417
350000;Gestão Estadual (SP);Primavera;R02;R02;5396
350000;Gestão Estadual (SP);Outono;D649;D649;5384
350000;Gestão Estadual (SP);Outono;I743;I743;5381
350000;Gestão Estadual (SP);Outono;C64;C64;5377
350000;Gestão Estadual (SP);Inverno;K928;K928;5376
350000;Gestão Estadual (SP);Verão;P228;P228;5376
350000;Gestão Estadual (SP);Verão;K929;K929;5343
350000;Gestão Estadual (SP);Outono;R02;R02;5335
350000;Gestão Estadual (SP);Outono;L989;L989;5325
350000;Gestão Estadual (SP);Primavera;K921;K921;5315
350000;Gestão Estadual (SP);Verão;O342;O342;5313
350000;Gestão Estadual (SP);Primavera;K928;K928;5312
354870;São Bernardo do Campo;Inverno;A419;Sepse Não Especificada (Infecção Geral);5285
350000;Gestão Estadual (SP);Inverno;C349;C349;5280
350000;Gestão Estadual (SP);Primavera;C64;C64;5279
355030;São Paulo;Verão;J180;J180;5272
350000;Gestão Estadual (SP);Outono;R100;R100;5262
350000;Gestão Estadual (SP);Verão;K810;K810;5216
354870;São Bernardo do Campo;Primavera;A419;Sepse Não Especificada (Infecção Geral);5190
350000;Gestão Estadual (SP);Inverno;C189;C189;5188
350000;Gestão Estadual (SP);Inverno;K429;K429;5188
350000;Gestão Estadual (SP);Verão;G409;G409;5186
350000;Gestão Estadual (SP);Outono;K928;K928;5186
350000;Gestão Estadual (SP);Verão;L989;L989;5163
350000;Gestão Estadual (SP);Verão;N201;N201;5153
350000;Gestão Estadual (SP);Inverno;D649;D649;5097
350000;Gestão Estadual (SP);Outono;K810;K810;5095
350000;Gestão Estadual (SP);Primavera;C508;C508;5079
350000;Gestão Estadual (SP);Primavera;N40;N40;5075
350000;Gestão Estadual (SP);Outono;I702;I702;5060
350000;Gestão Estadual (SP);Inverno;O342;O342;5046
350000;Gestão Estadual (SP);Inverno;I739;I739;5037
350000;Gestão Estadual (SP);Outono;P228;P228;5026
350000;Gestão Estadual (SP);Verão;C64;C64;5025
350000;Gestão Estadual (SP);Inverno;R02;R02;5023
350000;Gestão Estadual (SP);Verão;R02;R02;5012
350000;Gestão Estadual (SP);Inverno;C900;C900;5003
350000;Gestão Estadual (SP);Primavera;N201;N201;4992
350000;Gestão Estadual (SP);Inverno;P229;P229;4992
350000;Gestão Estadual (SP);Outono;O342;O342;4988
350000;Gestão Estadual (SP);Outono;K746;K746;4984
350000;Gestão Estadual (SP);Verão;S723;S723;4969
350000;Gestão Estadual (SP);Verão;A46;A46;4951
350000;Gestão Estadual (SP);Verão;C920;C920;4950
350000;Gestão Estadual (SP);Inverno;P599;P599;4945
355030;São Paulo;Inverno;O820;O820;4934
350000;Gestão Estadual (SP);Primavera;N200;N200;4921
350000;Gestão Estadual (SP);Primavera;P599;P599;4913
350000;Gestão Estadual (SP);Verão;C900;C900;4905
350000;Gestão Estadual (SP);Outono;J441;J441;4904
350000;Gestão Estadual (SP);Primavera;A09;A09;4892
350000;Gestão Estadual (SP);Outono;J449;J449;4884
350000;Gestão Estadual (SP);Outono;C349;C349;4883
350000;Gestão Estadual (SP);Verão;N202;N202;4881
350000;Gestão Estadual (SP);Primavera;J449;J449;4876
350000;Gestão Estadual (SP);Inverno;L989;L989;4869
350000;Gestão Estadual (SP);Inverno;A09;A09;4862
350000;Gestão Estadual (SP);Primavera;C349;C349;4851
355030;São Paulo;Inverno;I500;I500;4787
350000;Gestão Estadual (SP);Inverno;J158;J158;4780
350000;Gestão Estadual (SP);Outono;N200;N200;4776
350000;Gestão Estadual (SP);Outono;K921;K921;4720
350000;Gestão Estadual (SP);Outono;A09;A09;4717
350000;Gestão Estadual (SP);Primavera;S525;S525;4716
350000;Gestão Estadual (SP);Primavera;I251;I251;4706
350000;Gestão Estadual (SP);Verão;K928;K928;4692
350000;Gestão Estadual (SP);Primavera;N202;N202;4683
350000;Gestão Estadual (SP);Verão;S525;S525;4677
354870;São Bernardo do Campo;Outono;A419;Sepse Não Especificada (Infecção Geral);4671
350000;Gestão Estadual (SP);Verão;S822;S822;4670
350000;Gestão Estadual (SP);Outono;D259;D259;4668
350000;Gestão Estadual (SP);Verão;O829;O829;4656
350000;Gestão Estadual (SP);Inverno;K922;K922;4653
350000;Gestão Estadual (SP);Inverno;C64;C64;4628
350000;Gestão Estadual (SP);Outono;O688;O688;4602
350000;Gestão Estadual (SP);Outono;N202;N202;4600
350000;Gestão Estadual (SP);Outono;I209;I209;4596
350000;Gestão Estadual (SP);Inverno;P228;P228;4577
355030;São Paulo;Outono;I500;I500;4571
350000;Gestão Estadual (SP);Inverno;J441;J441;4568
350000;Gestão Estadual (SP);Primavera;I209;I209;4560
350000;Gestão Estadual (SP);Outono;J158;J158;4554
350000;Gestão Estadual (SP);Inverno;S525;S525;4551
350000;Gestão Estadual (SP);Outono;T814;T814;4549
350000;Gestão Estadual (SP);Primavera;D649;D649;4549
350000;Gestão Estadual (SP);Verão;A09;A09;4540
350000;Gestão Estadual (SP);Inverno;K805;K805;4532
350000;Gestão Estadual (SP);Primavera;K800;K800;4523
350000;Gestão Estadual (SP);Inverno;I10;I10;4514
350000;Gestão Estadual (SP);Inverno;N201;N201;4505
351880;Guarulhos;Outono;O800;Parto Único Espontâneo (Normal);4492
350000;Gestão Estadual (SP);Outono;C508;C508;4491
350000;Gestão Estadual (SP);Outono;A498;A498;4481
350000;Gestão Estadual (SP);Verão;N40;N40;4470
350000;Gestão Estadual (SP);Outono;A46;A46;4456
350000;Gestão Estadual (SP);Primavera;O828;O828;4455
350000;Gestão Estadual (SP);Verão;P599;P599;4455
350000;Gestão Estadual (SP);Primavera;O342;O342;4441
350000;Gestão Estadual (SP);Inverno;J218;J218;4433
350000;Gestão Estadual (SP);Outono;K922;K922;4432
350000;Gestão Estadual (SP);Outono;S723;S723;4431
350000;Gestão Estadual (SP);Inverno;K810;K810;4422
350000;Gestão Estadual (SP);Primavera;K805;K805;4403
350000;Gestão Estadual (SP);Inverno;N202;N202;4372
350000;Gestão Estadual (SP);Primavera;I10;I10;4356
350000;Gestão Estadual (SP);Inverno;C508;C508;4338
355030;São Paulo;Outono;O82;O82;4335
350000;Gestão Estadual (SP);Inverno;N200;N200;4331
350000;Gestão Estadual (SP);Primavera;A498;A498;4323
354870;São Bernardo do Campo;Verão;A419;Sepse Não Especificada (Infecção Geral);4291
350000;Gestão Estadual (SP);Verão;C349;C349;4247
350000;Gestão Estadual (SP);Primavera;P228;P228;4245
350000;Gestão Estadual (SP);Primavera;S828;S828;4238
350000;Gestão Estadual (SP);Outono;K703;K703;4210
350000;Gestão Estadual (SP);Inverno;I702;I702;4181
350000;Gestão Estadual (SP);Primavera;A46;A46;4161
350000;Gestão Estadual (SP);Primavera;J188;J188;4127
350000;Gestão Estadual (SP);Inverno;C187;C187;4110
350000;Gestão Estadual (SP);Outono;S525;S525;4106
350000;Gestão Estadual (SP);Verão;I702;I702;4080
350000;Gestão Estadual (SP);Verão;J449;J449;4067
350000;Gestão Estadual (SP);Primavera;J459;J459;4065
350000;Gestão Estadual (SP);Primavera;C187;C187;4058
350000;Gestão Estadual (SP);Outono;O244;O244;4052
350000;Gestão Estadual (SP);Inverno;I251;I251;4051
355030;São Paulo;Verão;O820;O820;4025
350000;Gestão Estadual (SP);Primavera;O244;O244;4015
350000;Gestão Estadual (SP);Verão;O244;O244;4011
350000;Gestão Estadual (SP);Inverno;H251;H251;3991
350000;Gestão Estadual (SP);Verão;K922;K922;3969
350000;Gestão Estadual (SP);Outono;O829;O829;3965
350000;Gestão Estadual (SP);Outono;I739;I739;3948
350000;Gestão Estadual (SP);Outono;C187;C187;3943
354870;São Bernardo do Campo;Outono;O800;Parto Único Espontâneo (Normal);3931
350000;Gestão Estadual (SP);Inverno;K921;K921;3925
350000;Gestão Estadual (SP);Inverno;D259;D259;3920
350000;Gestão Estadual (SP);Primavera;S821;S821;3915
354870;São Bernardo do Campo;Inverno;O800;Parto Único Espontâneo (Normal);3905
355030;São Paulo;Primavera;O82;O82;3902
351880;Guarulhos;Verão;O800;Parto Único Espontâneo (Normal);3894
350000;Gestão Estadual (SP);Outono;I10;I10;3889
350000;Gestão Estadual (SP);Inverno;K920;K920;3887
350000;Gestão Estadual (SP);Inverno;N47;N47;3874
350000;Gestão Estadual (SP);Inverno;I618;I618;3848
350000;Gestão Estadual (SP);Verão;I739;I739;3839
350000;Gestão Estadual (SP);Primavera;A150;A150;3835
350000;Gestão Estadual (SP);Verão;I10;I10;3827
351880;Guarulhos;Primavera;O800;Parto Único Espontâneo (Normal);3817
350000;Gestão Estadual (SP);Inverno;I209;I209;3813
350000;Gestão Estadual (SP);Primavera;I211;I211;3812
350000;Gestão Estadual (SP);Verão;D649;D649;3799
350000;Gestão Estadual (SP);Inverno;I269;I269;3796
350000;Gestão Estadual (SP);Inverno;K800;K800;3795
350000;Gestão Estadual (SP);Verão;K805;K805;3792
350000;Gestão Estadual (SP);Verão;K703;K703;3778
350000;Gestão Estadual (SP);Primavera;N47;N47;3775
351880;Guarulhos;Inverno;O800;Parto Único Espontâneo (Normal);3772
354870;São Bernardo do Campo;Verão;O800;Parto Único Espontâneo (Normal);3761
350570;Barueri;Outono;O800;Parto Único Espontâneo (Normal);3759
350000;Gestão Estadual (SP);Outono;O141;O141;3753
350000;Gestão Estadual (SP);Primavera;C56;C56;3746
350000;Gestão Estadual (SP);Primavera;K922;K922;3742
354990;São José dos Campos;Outono;A90;Dengue Clássica;3739
350000;Gestão Estadual (SP);Inverno;N40;N40;3736
350000;Gestão Estadual (SP);Outono;L97;L97;3733
355030;São Paulo;Inverno;D259;D259;3731
350000;Gestão Estadual (SP);Outono;G919;G919;3729
355030;São Paulo;Inverno;I509;I509;3720
350000;Gestão Estadual (SP);Verão;N47;N47;3720
350000;Gestão Estadual (SP);Outono;K564;K564;3717
350000;Gestão Estadual (SP);Inverno;O429;O429;3716
350000;Gestão Estadual (SP);Outono;C539;C539;3711
350000;Gestão Estadual (SP);Verão;N188;N188;3708
350000;Gestão Estadual (SP);Verão;N200;N200;3706
350000;Gestão Estadual (SP);Inverno;H269;H269;3705
350000;Gestão Estadual (SP);Primavera;O429;O429;3704
350000;Gestão Estadual (SP);Outono;N40;N40;3701
350000;Gestão Estadual (SP);Verão;A498;A498;3700
354780;Santo André;Inverno;A419;Sepse Não Especificada (Infecção Geral);3695
350000;Gestão Estadual (SP);Inverno;O244;O244;3671
350000;Gestão Estadual (SP);Primavera;K566;K566;3640
350000;Gestão Estadual (SP);Inverno;F312;F312;3638
350000;Gestão Estadual (SP);Outono;F312;F312;3630
350000;Gestão Estadual (SP);Verão;D259;D259;3626
353440;Osasco;Verão;O800;Parto Único Espontâneo (Normal);3622
354850;Santos;Verão;O800;Parto Único Espontâneo (Normal);3621
350000;Gestão Estadual (SP);Outono;K805;K805;3618
350000;Gestão Estadual (SP);Primavera;I48;I48;3614
350000;Gestão Estadual (SP);Primavera;J441;J441;3614
350000;Gestão Estadual (SP);Outono;O429;O429;3613
350000;Gestão Estadual (SP);Inverno;K564;K564;3612
350000;Gestão Estadual (SP);Inverno;F142;F142;3611
350570;Barueri;Verão;O800;Parto Único Espontâneo (Normal);3607
350570;Barueri;Primavera;O800;Parto Único Espontâneo (Normal);3598
350000;Gestão Estadual (SP);Outono;K920;K920;3588
350000;Gestão Estadual (SP);Primavera;K920;K920;3582
350000;Gestão Estadual (SP);Primavera;E101;E101;3579
350000;Gestão Estadual (SP);Inverno;L97;L97;3567
350000;Gestão Estadual (SP);Verão;O688;O688;3567
350000;Gestão Estadual (SP);Primavera;O829;O829;3555
350000;Gestão Estadual (SP);Inverno;O828;O828;3551
