Nome_Municipio;SP_GESTOR;Total_Internacoes;Media_Permanencia_Dias;Latitude;Longitude
Salto;354520;19083;5.1;-23.01719599888999;-47.729817940741015
Paraguaçu Paulista;353550;18538;5.91;-22.352033026269357;-45.754877514124296
Birigui;350650;18061;6.01;-24.10798096017414;-46.20102705061197
Itararé;352320;17826;2.34;-23.42285066876342;-47.724322181974486
Andradina;350210;17600;6.29;-24.234260013674973;-48.29581568866275
Caçapava;350850;16990;9.74;-22.79210627210961;-49.27529569061024
Penápolis;353730;16590;7.28;-22.826712811850506;-45.79155748456629
Olímpia;353390;16419;6.8;-23.983820345676584;-46.44223708769798
Votorantim;355700;16168;5.88;-23.070986839872024;-46.87930514190265
Ituverava;352410;16013;6.13;-23.519290206044314;-48.86203094983457
Lençóis Paulista;352680;14981;8.82;-23.818612157186323;-49.21803221742742
Porto Feliz;354060;14255;5.37;-23.743059885296272;-46.84312246004413
Taquaritinga;355370;13811;5.14;-21.654928164469478;-46.243497257635354
Itápolis;352270;13510;4.84;-22.24459707037655;-49.05827254635559
Novo Horizonte;353350;13466;4.61;-23.43243766111215;-48.260772498710125
Arujá;350390;13309;2.77;-23.55012916080714;-47.439977361161105
Morro Agudo;353190;13219;8.82;-22.693338555360985;-48.07245609931556
Louveira;352730;13094;5.22;-23.23863252379069;-46.18577760837567
São Pedro;355040;12805;2.94;-21.932121455040942;-48.268816673277016
Jaboticabal;352430;12721;8.95;-21.558634668380222;-45.68873993198998
Taboão da Serra;355280;12643;4.63;-23.319772373909878;-48.08230020482778
Capivari;351040;12221;6.59;-22.783097539734126;-45.735516749865305
Cajuru;350940;12071;4.67;-21.671041700573067;-49.08972814966564
Piedade;353780;11851;4.85;-23.121807770185754;-47.28651524100091
Espírito Santo do Pinhal;351518;11672;8.0;-22.79060258234538;-48.72454772825243
Presidente Epitácio;354130;11671;3.21;-21.723549686495538;-46.79223686801265
Pirassununga;353930;11576;7.81;-21.78627487544459;-46.06494288260211
Boituva;350700;11544;3.9;-22.054932439002783;-47.74315759500113
Itupeva;352400;11514;4.3;-22.468359734953726;-48.85853837552103
Monte Alto;353130;11469;10.01;-22.27906374757528;-48.782986977042874
Capão Bonito;351020;11110;5.52;-22.21815122846953;-48.58160735698412
Santa Isabel;354680;10975;9.1;-23.947346099549343;-48.83886203942817
Santa Fé do Sul;354660;10920;8.24;-24.29402359434279;-46.62504152858588
Presidente Venceslau;354150;10807;5.44;-22.102796852824863;-47.44026660034696
Cosmópolis;351280;10686;9.14;-23.81591159683385;-49.165782649957244
Guaíra;351740;10503;4.71;-24.24261310068814;-48.83700729213912
Porto Ferreira;354070;10214;6.51;-21.62743339505056;-48.53385263319327
Pederneiras;353670;10105;6.92;-23.237186018348353;-49.07861806207467
Osvaldo Cruz;353460;10068;5.28;-23.63291608575549;-47.42310171687918
Garça;351670;10032;7.59;-22.47674195071304;-48.51859074333515
Campos do Jordão;350970;9848;5.48;-24.12680352232465;-47.935868523490406
Ribeirão Pires;354330;9278;7.68;-23.597389887221;-48.621784307080794
Apiaí;350270;9036;3.68;-21.420411591859633;-47.034798056297106
Descalvado;351370;8754;2.88;-22.629364670483714;-47.836899585906714
Socorro;355210;8719;4.27;-23.01316699970957;-47.33637998464768
Embu das Artes;351500;8637;3.94;-22.21071057889168;-46.69141561527268
Ilhabela;352040;8455;3.22;-23.78491827688365;-47.499548991693494
Barra Bonita;350530;8444;4.69;-23.064125714897695;-46.01789213492246
Vargem Grande do Sul;355640;8166;4.38;-22.405743236344872;-47.369983734336074
Bebedouro;350610;8149;2.73;-23.953816073463248;-47.077448442706356
Taquarituba;355380;7424;4.54;-23.9483882829593;-48.15117369773699
Orlândia;353430;7248;2.2;-23.871474105557006;-46.731705411902524
São Miguel Arcanjo;355020;7173;38.76;-23.681243658491542;-47.932562507247894
Guararema;351830;6927;4.49;-21.612975667143665;-48.68273446640412
Carapicuíba;351060;6916;2.3;-22.776584808123662;-47.82291335533591
Martinópolis;352920;6878;3.45;-24.245627876862812;-46.32896754570875
Palmital;353530;6848;3.61;-24.092862281056203;-47.60297991609219
Auriflama;350420;6526;1.88;-22.61796511518315;-46.98629417354165
Altinópolis;350100;6384;5.53;-22.234105112076374;-48.48691046590914
Bertioga;350635;6263;3.33;-24.27006367002465;-46.60622535058035
Cândido Mota;351000;6229;4.71;-22.693030201957264;-46.155529187171005
Piraju;353880;6163;4.16;-21.83583491129792;-46.12669532884847
Igarapava;352010;5892;6.4;-22.84471602006138;-48.165486416652534
Nova Odessa;353340;5419;6.29;-21.92532539222589;-47.69482354788298
Salto de Pirapora;354530;5303;2.71;-23.749673410789697;-46.0801039217541
Laranjal Paulista;352640;5243;4.17;-21.652320369682958;-47.63476097543932
Angatuba;350220;5164;5.79;-24.07290081807064;-47.948695640332275
Cunha;351360;5161;4.17;-21.88938702161219;-45.89290388581509
Santo Anastácio;354770;5093;3.01;-23.689581772507214;-49.23210555189891
Mirassol;353030;4913;2.23;-21.667948640601484;-47.9423802440845
Guararapes;351820;4834;5.75;-22.67471710719731;-45.62773675179697
Pontal;354020;4616;2.45;-24.100305816257332;-46.90672797019162
Junqueirópolis;352600;4587;6.42;-24.0776837322754;-47.998124286134
Pitangueiras;353950;4497;3.9;-21.88855636441966;-47.766111068977466
Miguelópolis;352970;4491;3.42;-21.30845293829115;-47.26376286021359
Bariri;350520;4455;4.37;-23.336513542092142;-48.61955469638099
Conchal;351220;4443;2.77;-23.248438397141516;-48.0098669049618
Guará;351770;4441;2.77;-24.09385896682812;-48.021703202292905
Casa Branca;351080;4412;4.49;-22.907284440782327;-46.60904899104478
Monte Mor;353180;4398;2.74;-22.329811545835177;-46.66493737908338
Dois Córregos;351410;4252;5.27;-24.27490895436943;-48.629330401677855
Guariba;351860;4234;3.66;-22.31494713480043;-47.56404252728101
Tupi Paulista;355510;4231;4.57;-24.284059572994963;-46.282021430272714
Serra Negra;355160;4182;4.18;-21.98157128012899;-47.30632334802575
Pirajuí;353890;4155;2.74;-24.100610022671184;-46.43393980186966
Santa Cruz das Palmeiras;354630;4113;3.26;-22.54885923680591;-46.372160091368166
Tabatinga;355270;3688;4.84;-22.044759022812478;-46.287991712168655
Duartina;351450;3554;1.69;-22.745975800786127;-48.93870192722594
Cerqueira César;351140;3482;3.31;-22.286527579860934;-47.01810485979212
Itapecerica da Serra;352220;3299;3.33;-22.07324043840274;-48.82047597579706
Monte Azul Paulista;353150;3279;2.52;-23.715074400299134;-45.938361931122685
Santa Rita do Passa Quatro;354750;3246;3.6;-22.05006660464379;-45.86708604519871
Teodoro Sampaio;355430;3223;4.04;-22.02385403650824;-47.11137877603879
Bastos;350580;3212;2.68;-22.33760178891638;-45.94348830423996
Itaporanga;352280;3180;3.08;-22.563579736464177;-46.97043470268645
Itaberá;352170;3129;3.63;-23.8305698519892;-47.60431511953559
Pilar do Sul;353790;3066;4.11;-22.150808664125705;-48.41622920673454
Brotas;350790;3053;5.77;-23.693237458426395;-48.244692767102336
Tietê;355450;3026;3.0;-23.5754981160215;-48.64034945185442
Fartura;351540;2960;4.92;-23.02544747139574;-45.86864594446586
Várzea Paulista;355650;2939;7.09;-22.778821059783844;-48.74831847673871
Ibiúna;351970;2878;3.18;-24.06908499185738;-46.7153754194483
Tambaú;355330;2862;3.4;-23.151603706690835;-46.21267621365856
Santa Rosa de Viterbo;354760;2859;4.62;-22.32146769407769;-46.31503419783453
São Manuel;355010;2855;5.57;-23.484161881744654;-46.73056431015577
Pedreira;353710;2826;3.88;-23.507814045918845;-45.74372608219883
Borborema;350740;2805;4.91;-22.390877155399878;-48.20195279929863
Palmeira d'Oeste;353520;2781;2.83;-23.491464413123182;-48.736293659713425
Itajobi;352190;2767;6.85;-22.21607712331882;-48.62513754800829
Presidente Bernardes;354120;2737;2.81;-22.514090202217535;-48.44145989229857
Caieiras;350900;2736;3.79;-22.314093165618395;-46.240241085837845
Buritama;350810;2717;4.97;-21.965924270566042;-46.45659467627687
Bernardino de Campos;350630;2715;3.64;-23.736832782923244;-49.146460212061925
Pirangi;353900;2683;2.67;-22.203153514537846;-48.026611144822596
Paranapanema;353580;2667;5.16;-23.002961320789957;-49.37540362882643
Cafelândia;350880;2625;3.52;-23.521270652174852;-49.36529438450214
Taguaí;355300;2598;3.77;-21.662442682196257;-48.526413267125875
Agudos;350070;2583;2.5;-22.627988491280977;-49.34408271735548
Castilho;351100;2516;6.8;-22.299457826083028;-48.207890616983626
Valparaíso;355630;2461;3.48;-21.606242439127;-45.94752724426386
Ipuã;352130;2369;2.95;-23.324128144914756;-45.89615641723813
Getulina;351700;2348;4.75;-21.311526979503665;-46.19833734350421
Ouroeste;353475;2308;3.79;-21.765385956734313;-48.50396505556364
Regente Feijó;354240;2201;3.11;-22.569892803426733;-49.230976344130525
Nazaré Paulista;353240;2167;5.45;-24.01524618953499;-45.504429551866835
Pereira Barreto;353740;2166;3.73;-23.32008225172227;-46.507264351804615
Potirendaba;354080;2164;2.9;-21.88000484091955;-46.067906915971086
Tabapuã;355260;2119;4.16;-21.307115107793532;-48.53401405897253
Lucélia;352740;2112;4.87;-24.178947519420902;-47.855233928021654
Álvares Machado;350130;2082;3.83;-23.90975799051316;-49.41029644335178
General Salgado;351690;2081;4.58;-23.218719518575544;-46.36504699569905
Maracaí;352880;2019;4.75;-22.601457926324787;-48.24888804315859
Serrana;355150;2002;3.81;-22.33697398352184;-48.571927278764754
Macatuba;352800;1946;2.68;-24.256855661783746;-46.44258645425429
Colina;351200;1923;4.9;-22.428770745407974;-46.45078950199616
Iepê;351990;1918;3.79;-24.183185949937005;-46.15152148867739
Estrela d'Oeste;351520;1889;3.58;-22.44142139989109;-47.24641859714944
Ribeirão Branco;354300;1888;3.34;-22.426157855656406;-46.042267012526544
Cerquilho;351150;1870;5.55;-22.539190480323278;-47.17619848044728
São Sebastião da Grama;355080;1858;5.47;-21.327962528802704;-46.47307933172573
Ibaté;351930;1857;2.82;-22.973118583646595;-46.67041199986829
Cabreúva;350840;1807;3.55;-23.132308584924637;-48.584498150066004
Piracaia;353860;1798;5.26;-22.509444369336723;-45.78727160754419
Águas de Lindóia;350050;1774;3.77;-21.512581439953614;-48.13237888757804
Pompéia;354000;1757;4.82;-22.716967601334915;-48.653456405720554
Ibirá;351940;1745;4.2;-21.31310667150335;-45.57552836852825
Ipaussu;352090;1722;4.57;-22.351473210877657;-46.28234376129011
Salesópolis;354500;1600;3.64;-22.154699516148902;-47.12736712384213
Rio das Pedras;354400;1582;2.81;-24.13995600903331;-47.68094262978936
Salto Grande;354540;1580;3.75;-22.275641093497768;-46.78987354446526
Cesário Lange;351160;1576;4.12;-23.18063214473285;-45.73323205336788
Guaraçaí;351780;1531;3.89;-23.79792890328966;-47.49856221513776
Viradouro;355680;1505;4.9;-22.22734807034753;-46.71145677643276
Urupês;355600;1444;4.59;-22.354083129693553;-48.39884714619256
Mongaguá;353110;1426;3.57;-23.831380293940136;-46.956238692693155
Itaí;352180;1423;4.84;-22.50209365158169;-48.78257595884303
Santa Adélia;354560;1358;3.89;-22.18458256328831;-47.67931203306537
Itatinga;352350;1275;4.54;-22.296718225190542;-46.1505316809194
Queluz;354190;1229;4.83;-23.79081471426923;-49.423420528012656
Indiaporã;352070;1195;3.54;-21.96269224081264;-47.061210299389536
Cajobi;350930;1088;2.61;-22.201081291133637;-46.14738010004543
Embu-Guaçu;351510;1018;1.12;-21.8915671955265;-45.6563194122847
São Bento do Sapucaí;354860;1007;5.14;-22.692194763443645;-47.54601746936038
Américo Brasiliense;350170;922;6.73;-23.09433840032781;-48.88523582862318
Charqueada;351170;884;3.53;-22.582178301353935;-48.39194990269608
Joanópolis;352550;844;5.51;-21.536077463361075;-47.16723678289161
Urânia;355580;843;3.87;-22.52147945847567;-48.08030135649196
São Luiz do Paraitinga;355000;796;6.06;-24.144031944066878;-49.373024938508046
Itapuí;352290;792;6.52;-23.02999456754041;-49.161738487611046
Ribeirão Bonito;354290;731;3.6;-22.479459133379585;-45.97610797744137
Nova Europa;353290;709;4.17;-21.2294;-50.4356
Itirapina;352360;669;4.28;-21.651255550443835;-46.86381835947107
Iacanga;351910;658;2.6;-23.66630450558121;-46.04801267456451
São Simão;355090;657;8.89;-21.641719694060377;-48.713385660188166
Populina;354040;586;4.69;-22.087721742687968;-48.35392180429151
Tapiratiba;355360;502;3.55;-21.89207906294121;-45.51104840038559
Jarinu;352520;492;3.55;-24.20992198401182;-45.910536536836275
Conchas;351230;485;3.57;-22.432108399204026;-45.606469523340714
Sud Mennucci;355230;442;2.43;-22.904971447420717;-46.110448277714504
Rinópolis;354380;420;5.86;-24.11281779420517;-48.15888379968682
Bom Jesus dos Perdões;350710;406;5.25;-24.09895038674637;-45.59862746608372
Cachoeira Paulista;350860;404;3.85;-21.84907827818449;-46.089810315016116
Piratininga;353940;403;3.56;-21.48610430569832;-49.15958605552086
Gália;351660;392;8.58;-23.14320722246;-49.21586044382399
Aguaí;350030;375;5.54;-23.667620695349914;-48.58253689184931
Bilac;350640;334;3.89;-22.892678366857265;-48.42575133018543
Sales Oliveira;354490;334;2.66;-23.99706567954672;-48.83003564362357
Riolândia;354420;279;3.93;-23.858173309343726;-45.607692808350805
Bocaina;350680;260;3.02;-22.02212247924458;-45.62895413892175
Torrinha;355470;245;3.67;-22.980778540476276;-48.38652607334937
Morungaba;353200;242;4.32;-21.90512040837244;-48.194984327835414
Cravinhos;351310;223;4.91;-23.401849878883954;-48.56997603116868
Macaubal;352810;206;3.37;-23.910963065327294;-48.47414775593293
Paulo de Faria;353660;192;3.79;-23.234040754578338;-46.80402316741708
Guapiara;351760;177;3.44;-24.112305473341646;-48.657972241338626
Jaborandi;352420;149;3.5;-21.872929079124972;-48.91231230566492
Arealva;350340;126;2.57;-23.272064560432437;-46.04136431256744
Aparecida d'Oeste;350260;106;3.22;-23.835224066569673;-49.16905265752724
Boa Esperança do Sul;350670;104;2.84;-22.846386014759968;-48.290321954885854
Santo Antônio da Alegria;354790;94;2.64;-22.609774906548438;-46.2847804380661
Terra Roxa;355440;88;4.65;-23.888554535541772;-47.17720366178286
Neves Paulista;353250;67;2.12;-22.783473718830408;-48.9236848559472
Bauru;350600;63;14.86;-22.428004543413053;-48.40543832855691
Silveiras;355200;59;6.59;-22.836497044367963;-49.17091070289175
Arandu;350310;54;4.33;-22.92124782835913;-48.27414612782872
Alto Alegre;350110;32;6.62;-21.832856366443938;-49.27208509201053
Colômbia;351210;12;4.17;-23.044178175245012;-47.666274303474246
